eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss
63.97963326666668,60.0,9996,,,,,,,,,,,,,,,
64.6946752,60.0,19992,,,,,,,,,,,,,,,
,,28672,3,69.39839935302734,1,9525,60.0,,,,,,,,,,
67.90946063333335,60.0,29988,,,,,,0.2437744140625,10,0.2,0.0003,3.853215217590332,14.8429686114192,-0.009724617004394531,0.031408094,-0.041404472152914554,-5.004537318327597
65.86669626666666,60.0,39984,,,,,,,,,,,,,,,
65.11162836666666,60.0,49980,,,,,,,,,,,,,,,
,,57344,2,70.22161865234375,2,21031,60.0,,,,,,,,,,
67.9237784,60.0,59976,,,,,,0.29641810825892856,20,0.2,0.0003,4.401676177978516,11.580484479772194,0.703502893447876,0.03277993,-0.043617696281788604,-4.9310964536454
69.35174223333333,60.0,69972,,,,,,,,,,,,,,,
69.45271813333332,60.0,79968,,,,,,,,,,,,,,,
,,86016,2,70.67178344726562,3,32328,59.97,,,,,,,,,,
66.81710799999999,60.0,89964,,,,,,0.33964146205357143,30,0.2,0.0003,4.31810188293457,9.04301121500986,0.8862464427947998,0.037802335,-0.046325037025859016,-4.884815480666501
69.480614,60.0,99960,,,,,,,,,,,,,,,
70.38951096666666,60.0,109956,,,,,,,,,,,,,,,
,,114688,2,72.29011535644531,4,43454,60.0,,,,,,,,,,
70.86805986666668,60.0,119952,,,,,,0.34217354910714287,40,0.2,0.0003,3.266629695892334,7.964207615064723,0.9462181329727173,0.036387622,-0.04379238779542253,-4.829883458784648
68.5699393,60.0,129948,,,,,,,,,,,,,,,
69.86328083333333,60.0,139944,,,,,,,,,,,,,,,
,,143360,2,71.2331771850586,5,54572,60.0,,,,,,,,,,
69.68195496666667,60.0,149940,,,,,,0.37076939174107143,50,0.2,0.0003,3.759413480758667,7.605715164967946,0.9603285789489746,0.03625233,-0.04703695084161674,-4.773524499045951
69.26902036666665,60.0,159936,,,,,,,,,,,,,,,
71.84334616666668,60.0,169932,,,,,,,,,,,,,,,
,,172032,2,71.1896743774414,6,65686,60.0,,,,,,,,,,
72.26710773333333,60.0,179928,,,,,,0.37998046875,60,0.2,0.0003,3.327608108520508,7.444244831055403,0.9628823399543762,0.03693064,-0.045467857889369565,-4.751054576571499
72.4018593,60.0,189924,,,,,,,,,,,,,,,
70.02929759999999,60.0,199920,,,,,,,,,,,,,,,
,,200704,2,70.50411987304688,7,76742,60.0,,,,,,,,,,
71.85422103333333,60.0,209916,,,,,,0.39437430245535715,70,0.2,0.0003,2.574871301651001,6.281841394571321,0.9689146280288696,0.037732664,-0.046611235339410736,-4.72295399499791
73.3502723,60.0,219912,,,,,,,,,,,,,,,
,,229376,2,72.84693908691406,8,86002,60.0,,,,,,,,,,
73.58277126666667,60.0,229908,,,,,,0.40926688058035715,80,0.2,0.0003,2.6984570026397705,5.1992351477167436,0.9762324690818787,0.040222976,-0.049043764236038054,-4.654453716533524
73.16263683333332,60.0,239904,,,,,,,,,,,,,,,
74.94108633333332,60.0,249900,,,,,,,,,,,,,,,
,,258048,2,72.87842559814453,9,97071,60.0,,,,,,,,,,
72.97164626666668,60.0,259896,,,,,,0.40463169642857144,90,0.2,0.0003,1.648252010345459,5.268983721892749,0.9757158756256104,0.041142277,-0.048166022003819566,-4.628417367381709
72.78985016666665,60.0,269892,,,,,,,,,,,,,,,
73.8911438,60.0,279888,,,,,,,,,,,,,,,
,,286720,2,74.22937774658203,10,108095,59.98,,,,,,,,,,
72.33257246666666,60.0,289884,,,,,,0.41525181361607144,100,0.2,0.0003,1.603616714477539,5.049285808258823,0.9762075543403625,0.040891223,-0.05021319292739333,-4.555639241316489
69.69736093333334,60.0,299880,,,,,,,,,,,,,,,
74.14445093333333,60.0,309876,,,,,,,,,,,,,,,
,,315392,2,72.68475341796875,11,119172,60.0,,,,,,,,,,
74.83622083333336,60.0,319872,,,,,,0.41373465401785714,110,0.2,0.0003,2.2975423336029053,4.894864199736289,0.9772063493728638,0.041205738,-0.05179186514661913,-4.527265468878405
71.37645363333334,60.0,329868,,,,,,,,,,,,,,,
75.30136300000002,60.0,339864,,,,,,,,,,,,,,,
,,344064,2,73.36100769042969,12,130252,59.9,,,,,,,,,,
72.23212326666666,60.0,349860,,,,,,0.42855747767857144,120,0.2,0.0003,2.3709940910339355,4.58941229645695,0.9789741635322571,0.043823514,-0.05174515118269483,-4.474463200462716
73.19061246666666,60.0,359856,,,,,,,,,,,,,,,
74.74803036666667,60.0,369852,,,,,,,,,,,,,,,
,,372736,2,73.8746109008789,13,141283,59.91,,,,,,,,,,
74.2044282,60.0,379848,,,,,,0.430517578125,130,0.2,0.0003,2.152714490890503,4.356456924735435,0.9799329042434692,0.043399353,-0.05361923443935146,-4.4423365497163365
76.93476323333333,60.0,389844,,,,,,,,,,,,,,,
73.72346176666669,60.0,399840,,,,,,,,,,,,,,,
,,401408,2,73.31233978271484,14,152281,60.0,,,,,,,,,,
76.05542629999998,60.0,409836,,,,,,0.4418875558035714,140,0.2,0.0003,2.071597099304199,3.8109298056523713,0.9819939136505127,0.045097988,-0.05388806951107524,-4.418312906048127
74.41430460000001,60.0,419832,,,,,,,,,,,,,,,
75.04526073333335,60.0,429828,,,,,,,,,,,,,,,
,,430080,2,73.40526580810547,15,163269,59.97,,,,,,,,,,
73.93909296666669,60.0,439824,,,,,,0.4498953683035714,150,0.2,0.0003,1.5686025619506836,3.2677659740937606,0.9847047328948975,0.04651276,-0.05556300598441989,-4.387978450528213
75.56702873333333,59.8,449820,,,,,,,,,,,,,,,
,,458752,2,73.77388000488281,16,172439,60.0,,,,,,,,,,
