policy,n_objects,seed,episode_idx,cleared,n_delivered,n_steps,steps_to_clear,total_reward,sum_disturbance_m,sum_disturb_raw_m,max_disturb_m,mean_disturbance_per_attempt,n_invalid,n_empty_grab,n_physics_attempts,n_predicate_succ,n_failure_masked,n_ejected,wall_time_s
greedy_ggcnn,10,1007,7,0,1,30,-1,17.680713360089566,0.029643319955220963,0.12800949062478728,0.01631776451279576,0.0009881106651740321,0,0,30,1,6,0,18.64482855796814
random,10,1007,7,0,6,30,-1,34.059479780495444,0.06026010975227476,0.1454476467592561,0.022499905238302087,0.0020779348190439573,0,1,29,6,58,0,17.009183168411255
topdown,10,1007,7,0,4,30,-1,27.561228747796264,0.019385626101872135,0.08471239971348245,0.012228316011945354,0.0006461875367290711,0,0,30,4,58,0,17.176817655563354
heuristic_augmented,10,1007,7,0,4,30,-1,27.595905037272477,0.002047481363766773,0.06289116097831102,0.006234646553985938,6.824937879222577e-05,0,0,30,4,56,0,18.418663263320923
rl,10,1007,7,0,7,30,-1,37.478505449200505,0.010747275399746084,0.06439890506734343,0.01201396251177206,0.00035824251332486947,0,0,30,7,52,0,17.42081570625305
greedy_ggcnn,10,1008,8,0,1,30,-1,24.188593204291546,0.015703397854223623,0.10241710306055105,0.01172621683289786,0.0005234465951407875,0,0,30,1,6,0,20.16079330444336
random,10,1008,8,0,8,30,-1,40.135862169241086,0.08206891537944698,0.18277299318006374,0.023570279799722454,0.002829962599291275,0,1,29,8,52,0,16.93422269821167
topdown,10,1008,8,0,5,30,-1,30.84917389938774,0.025413050306136123,0.08404304680188657,0.019955460235690406,0.0008471016768712041,0,0,30,5,54,0,17.099640607833862
heuristic_augmented,10,1008,8,0,5,30,-1,30.856060381242163,0.021969809378923334,0.07836082159420871,0.019955460235690406,0.0007323269792974444,0,0,30,5,54,0,17.29927349090576
rl,10,1008,8,0,6,30,-1,34.70708935305532,0.1064553234723342,0.22327768552140298,0.03785739812268151,0.00354851078241114,0,0,30,6,56,0,16.913620471954346
greedy_ggcnn,10,1009,9,0,2,30,-1,21.050980306871313,0.01450984656434914,0.06273650281765214,0.01550310923133537,0.0004836615521449713,0,0,30,2,24,0,18.302950620651245
random,10,1009,9,0,7,30,-1,36.69333067002256,0.023334664988709664,0.07829950239089085,0.016722298887455814,0.0008333808924539165,0,2,28,7,50,0,15.897258520126343
topdown,10,1009,9,0,5,30,-1,31.056284217162464,0.041857891418770825,0.1306023834068068,0.020390007209662428,0.0013952630472923609,0,0,30,5,58,0,18.173367500305176
heuristic_augmented,10,1009,9,0,5,30,-1,30.872884485384446,0.013557757307782223,0.0615578933696395,0.011344226413041612,0.0004519252435927408,0,0,30,5,58,0,17.518101692199707
rl,10,1009,9,0,6,30,-1,31.67249651634773,0.01375174182614056,0.05503057495254349,0.011755857842948712,0.0005500696730456224,0,5,25,6,56,0,14.137852191925049
greedy_ggcnn,10,1010,10,0,2,30,-1,21.03595564680646,0.022022176596774308,0.05928421759889904,0.02702217659677431,0.0007340725532258102,0,0,30,2,16,0,17.742919206619263
random,10,1010,10,0,9,30,-1,42.92461938378869,0.07769030810564453,0.14602154742258835,0.02585260842845753,0.0028774188187275754,0,3,27,9,32,0,15.085120677947998
topdown,10,1010,10,0,6,30,-1,34.047292656533784,0.07635367173310587,0.14079553818108553,0.0446771067225314,0.002545122391103529,0,0,30,6,58,0,16.873178958892822
heuristic_augmented,10,1010,10,0,6,30,-1,34.31673576077221,0.06163211961389215,0.12589987111536077,0.0446771067225314,0.0020544039871297384,0,0,30,6,58,0,17.073747634887695
rl,10,1010,10,0,7,30,-1,37.43631509427132,0.03184245286432632,0.1030794136017123,0.017934414804446012,0.001061415095477544,0,0,30,7,42,0,16.491061210632324
greedy_ggcnn,10,1011,11,0,1,30,-1,19.78336801869356,0.058315990653222766,0.13576179472817493,0.0291078819211277,0.0019438663551074255,0,0,30,1,36,0,19.316409826278687
random,10,1011,11,0,9,30,-1,44.06126147209615,0.019369263951914985,0.054150864237008094,0.014686045469174538,0.0006456421317304995,0,0,30,9,36,0,16.508333444595337
topdown,10,1011,11,0,7,30,-1,38.65662738035342,0.02168630982327198,0.0724641090216207,0.015045435376041024,0.000722876994109066,0,0,30,7,36,0,17.104812622070312
heuristic_augmented,10,1011,11,0,7,30,-1,37.69568588691903,0.022157056540472293,0.10378119316857387,0.014187836384859643,0.0007385685513490764,0,0,30,7,34,0,17.23781967163086
rl,10,1011,11,0,8,30,-1,40.85325836403367,0.09337081798315858,0.1990904265793487,0.028759688916708093,0.003112360599438619,0,0,30,8,46,0,16.74750852584839
greedy_ggcnn,10,1012,12,0,3,30,-1,28.215589362165215,0.022205318917387817,0.10351284769511222,0.017037579826989682,0.0007401772972462605,0,0,30,3,22,0,19.083521127700806
random,10,1012,12,0,8,30,-1,39.77178175977241,0.014109120113781286,0.07686603634940826,0.015467581355673167,0.0005038971469207602,0,2,28,8,42,0,15.911691427230835
topdown,10,1012,12,0,6,30,-1,34.19512966155971,0.00243516922014372,0.04978140608742883,0.00743516922014372,8.1172307338124e-05,0,0,30,6,54,0,17.438733339309692
heuristic_augmented,10,1012,12,0,6,30,-1,34.17815096810755,0.010924515946219869,0.05648689876479285,0.013489346726076148,0.0003641505315406623,0,0,30,6,54,0,17.590967178344727
rl,10,1012,12,0,4,30,-1,27.920971953778082,0.07951402311096147,0.16871475038992437,0.05288125856822203,0.0026504674370320487,0,0,30,4,54,0,17.556920766830444
greedy_ggcnn,10,1013,13,0,1,30,-1,22.709394754961938,0.03530262251902949,0.12202676451433654,0.021272130040678586,0.0011767540839676498,0,0,30,1,16,0,20.122830152511597
random,10,1013,13,0,8,30,-1,41.3838815954304,0.0680592022847901,0.172923534374943,0.027185514365098876,0.00226864007615967,0,0,30,8,40,0,17.675453901290894
topdown,10,1013,13,0,7,30,-1,37.43027394940718,0.03486302529639349,0.08849895533880857,0.026048968029093813,0.0011621008432131164,0,0,30,7,36,0,16.544114112854004
heuristic_augmented,10,1013,13,0,7,30,-1,37.42299522933836,0.038502385330802004,0.0984574021741778,0.027762083921998817,0.0012834128443600667,0,0,30,7,30,0,16.80961298942566
rl,10,1013,13,0,7,30,-1,37.40352834726388,0.04823582636804321,0.1123303554715468,0.030858571036805515,0.0016078608789347737,0,0,30,7,34,0,16.783490657806396
greedy_ggcnn,10,1014,14,0,2,30,-1,23.91696283993594,0.02151858003202376,0.11373209483375428,0.01603211996957574,0.0007172860010674587,0,0,30,2,10,0,19.44712257385254
random,10,1014,14,0,9,30,-1,42.95647381134907,0.07176309432544614,0.1304940926524962,0.031827225299754916,0.0025629676544802193,0,2,28,9,20,0,15.104985237121582
topdown,10,1014,14,0,7,30,-1,37.463246238710916,0.018376880644525126,0.0968735930703292,0.011364405277535957,0.0006125626881508375,0,0,30,7,38,0,17.029872179031372
heuristic_augmented,10,1014,14,0,7,30,-1,37.445678797396006,0.02716060130198036,0.09282480861728343,0.012205442442559446,0.0009053533767326787,0,0,30,7,38,0,17.688926219940186
rl,10,1014,14,0,8,30,-1,40.782746048138534,0.008626975930705223,0.042885444740544544,0.010723919206476196,0.00028756586435684076,0,0,30,8,24,0,16.046627521514893
greedy_ggcnn,10,1015,15,0,4,30,-1,27.854474826497352,0.07276258675132831,0.20820450369905313,0.018216393286218442,0.0024254195583776105,0,0,30,4,24,0,19.786688089370728
random,10,1015,15,0,8,30,-1,40.7999128646964,0.1200435676517986,0.2565142123347002,0.021088339350587692,0.004001452255059953,0,0,30,8,48,0,17.10064435005188
topdown,10,1015,15,0,6,30,-1,34.14002965384315,0.029985173078422682,0.10314301928997753,0.017677750112843345,0.000999505769280756,0,0,30,6,56,0,16.6579008102417
heuristic_augmented,10,1015,15,0,7,30,-1,37.65186520445446,0.044067397772755305,0.1478097959615208,0.018639754501072418,0.0014689132590918435,0,0,30,7,40,0,16.859174966812134
rl,10,1015,15,0,7,30,-1,33.95161437253362,0.024192813733174237,0.09445133507476952,0.011981535585265372,0.0010518614666597495,0,7,23,7,42,0,12.633583068847656
greedy_ggcnn,10,1016,16,0,0,30,-1,19.364714209807136,0.0376428950964354,0.12192094774960607,0.017929627759535743,0.00125476316988118,0,0,30,0,2,0,19.212031602859497
random,10,1016,16,1,10,18,18,41.8193808860494,0.03030955697530352,0.09115204223359051,0.014689571454838542,0.0016838642764057511,0,0,18,10,26,0,10.533739566802979
topdown,10,1016,16,0,7,30,-1,37.42428819855847,0.037855900720755606,0.09138949575420544,0.02944058875815848,0.0012618633573585202,0,0,30,7,36,0,16.247085094451904
heuristic_augmented,10,1016,16,0,7,30,-1,37.439590273974474,0.030204863012745643,0.06779133275757815,0.01785341582881883,0.0010068287670915214,0,0,30,7,30,0,16.998440742492676
rl,10,1016,16,0,6,30,-1,34.51215464620535,0.083922676897321,0.19637758585823417,0.030748084196759267,0.0027974225632440334,0,0,30,6,54,0,17.31378674507141
greedy_ggcnn,10,1017,17,0,3,30,-1,25.35766324324296,0.011168378378521592,0.06913258541715393,0.007743514098658001,0.00037227927928405307,0,0,30,3,16,0,18.89865279197693
random,10,1017,17,0,5,30,-1,31.52797240907442,0.046013795462793924,0.15266578115078436,0.0200355899471283,0.0015337931820931308,0,0,30,5,58,0,17.45061445236206
topdown,10,1017,17,0,7,30,-1,37.480337292422114,0.00983135378892919,0.0447492833659924,0.01168019010420889,0.00032771179296430637,0,0,30,7,38,0,16.47029995918274
heuristic_augmented,10,1017,17,0,8,30,-1,40.76338878985456,0.018305605072705834,0.06903909677353111,0.01168019010420889,0.0006101868357568612,0,0,30,8,32,0,16.717408657073975
rl,10,1017,17,0,7,30,-1,37.449663665491826,0.025168167254071973,0.0669076850462739,0.015052400532467437,0.0008389389084690658,0,0,30,7,40,0,16.928399085998535
greedy_ggcnn,10,1018,18,0,4,30,-1,28.13930081007887,0.05034959496056942,0.12236959925561494,0.017663394352165025,0.0016783198320189806,0,0,30,4,34,0,18.006142139434814
random,10,1018,18,0,8,30,-1,40.02827916225724,0.13586041887137432,0.237433191043397,0.03719264315765284,0.004684842030047391,0,1,29,8,42,0,16.499743700027466
topdown,10,1018,18,0,8,30,-1,40.660114349280974,0.06994282535948383,0.11471718916665312,0.036785522692957366,0.0023314275119827943,0,0,30,8,28,0,16.47152328491211
heuristic_augmented,10,1018,18,0,6,30,-1,34.08978930739206,0.055105346303967497,0.12405773408561298,0.035973851809784546,0.0018368448767989165,0,0,30,6,58,0,16.334340810775757
rl,10,1018,18,0,8,30,-1,40.60233811424782,0.0988309428760652,0.1719726570672311,0.018961598392028767,0.0032943647625355067,0,0,30,8,24,0,17.687485694885254
greedy_ggcnn,10,1019,19,0,1,30,-1,20.020039971515654,0.05998001424217313,0.1739484275829928,0.018732454487168104,0.0019993338080724374,0,0,30,1,24,0,19.901609659194946
random,10,1019,19,1,10,24,24,44.343743230788974,0.08812838460550923,0.16817170330877992,0.03580535243687428,0.0036720160252295513,0,0,24,10,32,0,13.69588589668274
topdown,10,1019,19,0,5,30,-1,30.767321884320182,0.06633905783991342,0.12856083464680867,0.027686657133232217,0.002211301927997114,0,0,30,5,54,0,16.934497594833374
heuristic_augmented,10,1019,19,0,3,30,-1,24.13937222753638,0.08031388623181306,0.18316764989955256,0.033073912825849365,0.002677129541060435,0,0,30,3,58,0,17.94619917869568
rl,10,1019,19,0,8,30,-1,39.60626087495764,0.09686956252117454,0.19159586036913193,0.029682028177024325,0.003459627232899091,0,2,28,8,36,0,15.641895771026611
greedy_ggcnn,10,1020,20,0,2,30,-1,21.238361281302964,0.040819359348522245,0.14675147066651106,0.016074271135240306,0.0013606453116174083,0,0,30,2,24,0,19.175662755966187
random,10,1020,20,0,9,30,-1,42.40689428772906,0.09655285613545428,0.1993283120856875,0.027934272018304236,0.003576031708720529,0,3,27,9,32,0,15.869001388549805
topdown,10,1020,20,0,6,30,-1,34.13973255154743,0.030133724226281612,0.09465715794260704,0.02572686179635196,0.001004457474209387,0,0,30,6,58,0,17.104264974594116
heuristic_augmented,10,1020,20,0,6,30,-1,34.13195219057377,0.03402390471311085,0.0884666496163246,0.02572686179635196,0.001134130157103695,0,0,30,6,58,0,17.02762532234192
rl,10,1020,20,0,7,30,-1,38.827138309629674,0.05643084518515236,0.130293578141882,0.0255502428279475,0.001881028172838412,0,0,30,7,44,0,17.641347885131836
greedy_ggcnn,10,1021,21,0,2,30,-1,25.293471366389,0.0532643168054963,0.10233964001271482,0.03133324804790446,0.0017754772268498767,0,0,30,2,12,0,18.777202129364014
random,10,1021,21,0,7,30,-1,36.90403174415655,0.047984127921717384,0.1059905296715833,0.029913041732265302,0.0016546251007488752,0,1,29,7,48,0,17.050743103027344
topdown,10,1021,21,0,5,30,-1,31.024786845412223,0.057606577293892056,0.12863834165940152,0.01818297104818595,0.0019202192431297352,0,0,30,5,58,0,17.138070344924927
heuristic_augmented,10,1021,21,0,2,30,-1,22.615081385222318,0.03245930738884315,0.1200772201650913,0.01770695887504873,0.0010819769129614383,0,0,30,2,58,0,18.36052942276001
rl,10,1021,21,0,6,30,-1,33.00791770777221,0.09604114611389775,0.2159674187543042,0.02042329373600127,0.003430040932639205,0,2,28,6,54,0,16.18252730369568
greedy_ggcnn,10,1022,22,0,3,30,-1,26.459347019913988,0.060326490043010064,0.2066804012917981,0.0254051321078575,0.002010883001433669,0,0,30,3,18,0,19.02195930480957
random,10,1022,22,0,9,30,-1,43.53995542568401,0.03002228715798294,0.08515376302105933,0.019085688026302016,0.0010352512813097566,0,1,29,9,42,0,16.65685796737671
topdown,10,1022,22,0,7,30,-1,37.48724124442631,0.006379377786832362,0.02593186111528963,0.00887210346419637,0.0002126459262277454,0,0,30,7,24,0,16.047833919525146
heuristic_augmented,10,1022,22,0,6,30,-1,34.187959507482866,0.006020246258563831,0.038723224493422706,0.007570549544202206,0.00020067487528546102,0,0,30,6,56,0,16.468185663223267
rl,10,1022,22,0,7,30,-1,37.45191983920225,0.024040080398865994,0.06894534402790731,0.022865174878790126,0.0008013360132955331,0,0,30,7,52,0,17.081872701644897
greedy_ggcnn,10,1023,23,0,2,30,-1,23.450860461130016,0.01456976943499317,0.07084165118811328,0.008664789387215514,0.000485658981166439,0,0,30,2,18,0,19.043424367904663
random,10,1023,23,0,6,30,-1,34.5334355667572,0.07328221662140325,0.21436447232461048,0.024097861839443763,0.0024427405540467747,0,0,30,6,56,0,17.675569772720337
topdown,10,1023,23,0,7,30,-1,37.455942922769665,0.022028538615154025,0.05623235501160354,0.021740839924201928,0.0007342846205051341,0,0,30,7,30,0,16.446298837661743
heuristic_augmented,10,1023,23,0,7,30,-1,37.473358017719036,0.013320991140466984,0.06486743402775966,0.008664789383022222,0.00044403303801556615,0,0,30,7,26,0,17.19112515449524
rl,10,1023,23,0,7,30,-1,38.88448450342523,0.017757748287373545,0.0815163852604585,0.01183728046501832,0.0006123361478404671,0,1,29,7,26,0,16.248502016067505
greedy_ggcnn,10,1024,24,0,3,30,-1,24.638920130145223,0.010539934927392242,0.07883234263224297,0.010962117475785006,0.00035133116424640806,0,0,30,3,36,0,18.948081254959106
random,10,1024,24,1,10,25,25,43.469020476802854,0.015489761598566524,0.07148531126577583,0.01733710588229561,0.0007040800726621148,0,3,22,10,28,0,13.06691026687622
topdown,10,1024,24,0,5,30,-1,30.82995062626504,0.03502468686748553,0.10740887521243969,0.026232370850062952,0.0011674895622495176,0,0,30,5,58,0,18.008366346359253
heuristic_augmented,10,1024,24,0,5,30,-1,30.846683359360473,0.026658320319768256,0.10200574886110109,0.025059008675803122,0.0008886106773256085,0,0,30,5,58,0,17.563977241516113
rl,10,1024,24,0,6,30,-1,34.8670906834583,0.026454658270843354,0.09997092326562969,0.014986380693034247,0.0008818219423614451,0,0,30,6,56,0,18.05475115776062
greedy_ggcnn,10,1025,25,0,2,30,-1,22.885933870915306,0.05703306454235065,0.14421281863265392,0.024575270015856722,0.0019011021514116883,0,0,30,2,44,0,19.480201721191406
random,10,1025,25,0,7,30,-1,36.88114412554473,0.059427937227623163,0.12477322561934778,0.028323251770126727,0.0020492392147456262,0,1,29,7,52,0,16.064642667770386
topdown,10,1025,25,0,4,30,-1,27.390248203853396,0.10487589807330507,0.19388808406026337,0.03894553452841366,0.0034958632691101687,0,0,30,4,58,0,18.288808345794678
heuristic_augmented,10,1025,25,0,3,30,-1,24.212573192979402,0.04371340351030262,0.10770481726272214,0.02629597112647349,0.0014571134503434207,0,0,30,3,58,0,18.206385850906372
rl,10,1025,25,0,4,30,-1,27.398790464825716,0.1606047675871443,0.2666522844775633,0.06062755688492325,0.00535349225290481,0,0,30,4,56,0,18.530322313308716
greedy_ggcnn,10,1026,26,0,1,30,-1,17.976236198812146,0.0018819005939309632,0.06311433994531,0.006058386200928687,6.273001979769878e-05,0,0,30,1,28,0,19.542751789093018
random,10,1026,26,0,7,30,-1,37.700034897731804,0.019982551134098622,0.13498741862458732,0.0150474091607991,0.0006660850378032874,0,0,30,7,56,0,18.359350442886353
topdown,10,1026,26,0,6,30,-1,34.41680852292035,0.1315957385398215,0.2760536317409968,0.05697142904352662,0.00438652461799405,0,0,30,6,58,0,17.38802409172058
heuristic_augmented,10,1026,26,0,3,30,-1,25.685171216248875,0.027414391875564374,0.13554895934494424,0.022712659112559156,0.0009138130625188125,0,0,30,3,58,0,19.156985998153687
rl,10,1026,26,0,7,30,-1,35.226409904296226,0.006795047851876697,0.046792951487783056,0.010736661652556292,0.00027180191407506787,0,5,25,7,36,0,13.526800870895386
greedy_ggcnn,10,1027,27,0,0,30,-1,20.085723742841765,0.03713812857912163,0.13727096636623795,0.01686238394834792,0.0012379376193040544,0,0,30,0,10,0,19.64401125907898
random,10,1027,27,0,7,30,-1,36.579804684144115,0.08009765792794604,0.18205488992952024,0.02251982459036511,0.0028606306402837872,0,2,28,7,56,0,15.673729658126831
topdown,10,1027,27,0,6,30,-1,34.08192927871845,0.059035360640772076,0.10289248534030886,0.029707356874324135,0.0019678453546924024,0,0,30,6,56,0,16.444129705429077
heuristic_augmented,10,1027,27,0,7,30,-1,37.663976468342554,0.038011765828706356,0.1096429885800724,0.016626224591739402,0.0012670588609568786,0,0,30,7,34,0,16.99988317489624
rl,10,1027,27,0,8,30,-1,39.39535139393284,0.07232430303356349,0.18957174893706547,0.027804141475159343,0.002678677890131981,0,3,27,8,38,0,14.955132484436035
greedy_ggcnn,10,1028,28,0,2,30,-1,22.375101800379053,0.07244909981047425,0.21903098483443212,0.01948168794923797,0.0024149699936824747,0,0,30,2,50,0,18.82463574409485
random,10,1028,28,0,4,30,-1,27.612912841383327,0.11354357930833921,0.28440953052331,0.02764709454573854,0.0037847859769446403,0,0,30,4,58,0,18.13564443588257
topdown,10,1028,28,0,6,30,-1,34.032179491385605,0.08391025430719272,0.1418641266754626,0.030178779325774775,0.0027970084769064238,0,0,30,6,58,0,16.48458695411682
heuristic_augmented,10,1028,28,0,6,30,-1,34.27442992533038,0.08278503733480586,0.15397822124396787,0.024178941375174835,0.0027595012444935284,0,0,30,6,58,0,16.98789954185486
rl,10,1028,28,0,7,30,-1,37.452157700946984,0.02392114952649441,0.05238058551521769,0.01948168795016765,0.000797371650883147,0,0,30,7,34,0,15.844505548477173
greedy_ggcnn,10,1029,29,0,5,30,-1,32.02210223796575,0.01894888101713232,0.12181295442194012,0.008595122958751013,0.000631629367237744,0,0,30,5,52,0,18.59765386581421
random,10,1029,29,0,9,30,-1,44.02767621596465,0.036161892017658695,0.11084795189673655,0.019785660924280697,0.001205396400588623,0,0,30,9,30,0,16.719104528427124
topdown,10,1029,29,0,7,30,-1,37.4749848401029,0.012507579948543613,0.058293182668016,0.009447053052001152,0.0004169193316181204,0,0,30,7,46,0,16.78326392173767
heuristic_augmented,10,1029,29,0,7,30,-1,37.48620003037852,0.006899984810730878,0.05305410571493919,0.009447053052001152,0.00022999949369102927,0,0,30,7,46,0,16.81983995437622
rl,10,1029,29,0,8,30,-1,40.742015755831126,0.02899212208441265,0.08386882436196152,0.01850832628496977,0.0009664040694804217,0,0,30,8,26,0,16.505627870559692
greedy_ggcnn,10,1030,30,0,1,30,-1,18.095860503794043,0.06206974810298224,0.16221470253256642,0.023286177649378206,0.0020689916034327413,0,0,30,1,28,0,19.5747013092041
random,10,1030,30,0,6,30,-1,32.77890532070919,0.080547339645405,0.20687828377414214,0.019656757149066627,0.0029832348016816668,0,3,27,6,58,0,16.250039100646973
topdown,10,1030,30,0,4,30,-1,27.236606874720326,0.1816965626398413,0.3147714450338916,0.05763358788047872,0.00605655208799471,0,0,30,4,58,0,18.41181778907776
heuristic_augmented,10,1030,30,0,4,30,-1,27.993761418258433,0.043119290870787585,0.14387074712004244,0.014355881499653998,0.0014373096956929196,0,0,30,4,58,0,17.682312488555908
rl,10,1030,30,0,5,30,-1,30.817968547130707,0.04101572643464972,0.1287144629947661,0.022031992783515024,0.0013671908811549907,0,0,30,5,52,0,17.900601148605347
greedy_ggcnn,10,1031,31,0,3,30,-1,28.689260532959995,0.02536973352000102,0.12343652647183423,0.014346368310077273,0.000845657784000034,0,0,30,3,30,0,18.56952214241028
random,10,1031,31,0,7,30,-1,37.405277849919585,0.04736107504020236,0.14885413265012443,0.01895815020064537,0.0015787025013400786,0,0,30,7,54,0,17.181229829788208
